"priority_rank","gene","symbol","module","rank_in_module","MM","GS_AGE","is_GenAge","chromosome","gene_strand","TSS","window_start","window_end","erv_fragment_id","repeat_start","repeat_end","erv_strand","repName","repFamily","repeat_part","percent_divergence","epigenome_support_n","supporting_epigenomes","supported_in_E100","supported_in_E108","consensus_support","enhancer_states","TSS_distance","TSS_direction","signed_TSS_distance","same_strand","proximity_group","is_promoter_ERV_pair","promoter_main_context","overlaps_TSS","overlaps_first_exon","overlaps_other_exon","overlaps_intron","candidate_group","candidate_group_rank"
1,"ENSG00000140464.20","PML","pink",12,0.830825525084923,0.233475522950098,TRUE,"chr15","+",73994673,73894673,74094673,"chr15_74010969_74011302_MLT1K",74010969,74011302,"-","MLT1K","ERVL-MaLR","LTR_or_other",32.9,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA1",16296,"downstream",16296,FALSE,"10_to_50kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"GenAge_consensus_enhancer_ERV",1
2,"ENSG00000140464.20","PML","pink",12,0.830825525084923,0.233475522950098,TRUE,"chr15","+",73994673,73894673,74094673,"chr15_74006635_74007040_MSTB",74006635,74007040,"-","MSTB","ERVL-MaLR","LTR_or_other",16.2,1,"E100",TRUE,FALSE,FALSE,"EnhA1",11962,"downstream",11962,FALSE,"10_to_50kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"GenAge_enhancer_ERV",2
3,"ENSG00000140464.20","PML","pink",12,0.830825525084923,0.233475522950098,TRUE,"chr15","+",73994673,73894673,74094673,"chr15_74052366_74053880_LTR12C",74052366,74053880,"+","LTR12C","ERV1","LTR_or_other",9.1,1,"E108",FALSE,TRUE,FALSE,"EnhA1;EnhA2",57693,"downstream",57693,TRUE,"50_to_100kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"GenAge_enhancer_ERV",2
4,"ENSG00000287299.1","ENSG00000287299","midnightblue",5,0.764946186078026,0.235519462977617,FALSE,"chr2","-",200477635,200377635,200577635,"chr2_200476473_200477250_LTR1D1",200476473,200477250,"-","LTR1D1","ERV1","LTR_or_other",16.9,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA1;EnhA2;EnhG1",385,"downstream",385,TRUE,"within_10kb",TRUE,"intron",FALSE,FALSE,FALSE,TRUE,"promoter_consensus_enhancer_ERV",3
5,"ENSG00000252051.1","RN7SKP276","blue",19,0.873092233041618,0.202491865311049,FALSE,"chr1","-",229410767,229310767,229510767,"chr1_229412418_229412815_LTR7",229412418,229412815,"+","LTR7","ERV1","LTR_or_other",5.3,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA1;EnhA2",1651,"upstream",-1651,FALSE,"within_10kb",TRUE,"upstream_promoter",FALSE,FALSE,FALSE,FALSE,"promoter_consensus_enhancer_ERV",3
6,"ENSG00000146416.19","AIG1","blue",15,0.876239442387565,0.158807525368561,FALSE,"chr6","+",143060496,142960496,143160496,"chr6_143058930_143059402_LTR12F",143058930,143059402,"+","LTR12F","ERV1","LTR_or_other",10.4,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA2",1094,"upstream",-1094,TRUE,"within_10kb",TRUE,"upstream_promoter",FALSE,FALSE,FALSE,FALSE,"promoter_consensus_enhancer_ERV",3
7,"ENSG00000285564.2","ENSG00000285564","blue",17,0.874341115821784,0.105069608305409,FALSE,"chr6","-",163346744,163246744,163446744,"chr6_163348105_163348568_MLT1D",163348105,163348568,"+","MLT1D","ERVL-MaLR","LTR_or_other",18.8,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA2",1361,"upstream",-1361,FALSE,"within_10kb",TRUE,"upstream_promoter",FALSE,FALSE,FALSE,FALSE,"promoter_consensus_enhancer_ERV",3
8,"ENSG00000137309.20","HMGA1","red",21,0.782798292252025,-0.350593495837069,FALSE,"chr6","+",34236873,34136873,34336873,"chr6_34300504_34300649_MLT1L",34300504,34300649,"+","MLT1L","ERVL-MaLR","LTR_or_other",26.4,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA1;EnhA2",63631,"downstream",63631,TRUE,"50_to_100kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
9,"ENSG00000137309.20","HMGA1","red",21,0.782798292252025,-0.350593495837069,FALSE,"chr6","+",34236873,34136873,34336873,"chr6_34301278_34301774_MLT1H",34301278,34301774,"+","MLT1H","ERVL-MaLR","LTR_or_other",24.1,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA1;EnhA2",64405,"downstream",64405,TRUE,"50_to_100kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
10,"ENSG00000137309.20","HMGA1","red",21,0.782798292252025,-0.350593495837069,FALSE,"chr6","+",34236873,34136873,34336873,"chr6_34319087_34320020_MER21A",34319087,34320020,"-","MER21A","ERVL","LTR_or_other",16.4,2,"E100;E108",TRUE,TRUE,TRUE,"EnhA1;EnhA2",82214,"downstream",82214,FALSE,"50_to_100kb",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"consensus_enhancer_ERV",4
