"gene","module","MM_MEdarkred","MM_MEsalmon","MM_MEgrey60","MM_MEtan","MM_MEviolet","MM_MEbrown","MM_MEred","MM_MEorange","MM_MEblue","MM_MEyellow","MM_MElightgreen","MM_MEpurple","MM_MEdarkgreen","MM_MElightyellow","MM_MElightcyan","MM_MEblack","MM_MEpink","MM_MEgreenyellow","MM_MEmidnightblue","MM_MEdarkorange","MM_MEdarkturquoise","MM_MEsteelblue","MM_MEdarkgrey","MM_MEturquoise","MM_MEsaddlebrown","MM_MEcyan","MM_MEgreen","MM_MEmagenta","MM_MEpaleturquoise","MM_MEwhite","MM_MEroyalblue","MM_MEskyblue","MM_MEgrey","p.MM_MEdarkred","p.MM_MEsalmon","p.MM_MEgrey60","p.MM_MEtan","p.MM_MEviolet","p.MM_MEbrown","p.MM_MEred","p.MM_MEorange","p.MM_MEblue","p.MM_MEyellow","p.MM_MElightgreen","p.MM_MEpurple","p.MM_MEdarkgreen","p.MM_MElightyellow","p.MM_MElightcyan","p.MM_MEblack","p.MM_MEpink","p.MM_MEgreenyellow","p.MM_MEmidnightblue","p.MM_MEdarkorange","p.MM_MEdarkturquoise","p.MM_MEsteelblue","p.MM_MEdarkgrey","p.MM_MEturquoise","p.MM_MEsaddlebrown","p.MM_MEcyan","p.MM_MEgreen","p.MM_MEmagenta","p.MM_MEpaleturquoise","p.MM_MEwhite","p.MM_MEroyalblue","p.MM_MEskyblue","p.MM_MEgrey","GS_AGE","p.GS_AGE","target_module"
"ENSG00000174611.12","blue",-0.337301875997243,-0.0377738447594639,-0.489069494536697,-0.344317455431309,-0.536706884950419,-0.913944797554142,-0.647261837068293,0.505008291606373,0.92129856959509,0.606566510184154,0.016148021791007,0.161929736557766,0.23272857928537,0.159372753256564,0.384058972891329,-0.604520694861726,-0.0845106975482172,0.201285634295974,0.245451166864505,0.0817473780510111,0.38470098851772,0.13923448060096,0.310866269925184,0.565647488733983,-0.0240685429669449,-0.0753917729846054,-0.226598304642217,-0.0267287866315703,0.0176075386101946,0.0231560362198569,0.105617350099877,0.0279843086830207,0.433517633229835,3.25342649614253e-23,0.280546972427052,2.06944098506982e-50,3.50662117164093e-24,3.26024829865531e-62,7.90505033345994e-322,2.71583675638476e-98,3.74065248248657e-54,0,2.37875817731315e-83,0.644677694680439,3.24018126153968e-06,1.59740693873832e-11,4.63845265673028e-06,3.81582826373746e-30,1.17766161346709e-82,0.015619154558718,6.33562620073856e-09,1.09096551639728e-12,0.0193679829242823,3.00787347793637e-30,6.45329361849167e-05,8.71390643801052e-20,2.32870478952053e-70,0.491815527188811,0.031081386963177,5.51121377404378e-11,0.445207366640573,0.615064944377722,0.50838483479123,0.00248983501273325,0.424114498669894,8.30195053392041e-39,0.238403168262003,4.91832061383638e-12,"blue"
"ENSG00000186051.7","blue",-0.396085846488691,-0.17823155585,-0.364026753193377,-0.239417977568098,-0.524627950372683,-0.871045977182879,-0.623679060474625,0.566884401035424,0.899811041375618,0.703562392140792,-0.0721860741488259,0.167674668111989,0.214107881072914,0.12027551952338,0.331859393218153,-0.646412036858779,-0.161832749812089,0.079980683421644,0.141439396725131,0.0461559204944612,0.278520293602487,0.0448999228045085,0.253974970046905,0.467346885933622,-0.0200141479301011,-0.126491222592775,-0.301185005734209,0.00119468160264078,-0.0241372410332538,0.0281733512315743,0.0792651043355156,0.0302170318620978,0.299857113159856,4.04945135387299e-32,2.88378673509626e-07,4.92274967585768e-27,3.9712122932949e-12,4.84520044992448e-59,3.74669857710488e-254,2.30180750361902e-89,1.001826648752e-70,3.46765600978675e-296,3.47526319218644e-123,0.0390074422648536,1.41797995167244e-06,6.16526015254582e-10,0.000566376780118136,1.76167891604736e-22,5.88038689901486e-98,3.28490714112839e-06,0.0221566777237053,4.91770241704228e-05,0.187244074804501,4.86584286288387e-16,0.199543773273263,1.6558831773703e-13,1.28578136966767e-45,0.567592628490191,0.00028697523215597,1.29442338537116e-18,0.972784258332091,0.490579923057619,0.420989880572943,0.0233817558292432,0.388080420249094,1.85954626302975e-18,0.192338641666072,2.94870382533547e-08,"blue"
"ENSG00000132953.18","blue",-0.426095230346745,-0.178062025199297,-0.397963615859675,-0.278216346717931,-0.610321028781789,-0.850652956799348,-0.705553927100234,0.641716717265765,0.896652855364101,0.659980578400685,-0.120198778370099,0.0632779130827915,0.180484369709516,0.137869754502636,0.359331627031061,-0.584952188003583,-0.120015577244345,0.12479221811316,0.239306568008116,-0.00526131358037166,0.250725220466108,-0.0690676558581477,0.223989667027854,0.437549415826546,-0.104649194986758,-0.172151724774198,-0.303852007620282,-0.0115974728733939,-0.0464230730083172,0.0103215814156431,0.0912983059044045,0.0288965045713978,0.263968765782876,2.05752639407112e-37,2.96075844342392e-07,1.95764143786385e-32,5.24953786846313e-16,1.22530140368238e-84,4.53759317440702e-230,3.56743747296894e-124,4.01760958578431e-96,5.57226030476166e-291,1.91113684861359e-103,0.000571039576890407,0.0704761692385161,2.02726225557177e-07,7.61998705195941e-05,2.45532343046378e-26,2.94075536037164e-76,0.00058231552947955,0.000346656271174947,4.06576424616248e-12,0.88056881613686,3.42620271216436e-13,0.0482998112576153,9.23570352559174e-11,1.40358860691615e-39,0.00272923654644695,7.30198355401139e-07,6.21751879915412e-19,0.740493612389413,0.184701559151687,0.768176557623617,0.00898404698258446,0.409162255237826,1.65837896917377e-14,0.220676859608425,1.76298518659044e-10,"blue"
"ENSG00000185745.10","blue",-0.284000366287485,-0.0889123599226474,-0.442376733065687,-0.202644439353137,-0.494612370791824,-0.901306335613483,-0.583736717159593,0.470660193764262,0.895711085375458,0.678807876575167,-0.0820705027416859,0.0825793386188324,0.23987609334127,0.12773949012277,0.308276942636373,-0.713539593092859,-0.173554281853462,0.0145531661086712,0.14083262476234,0.0383954855555522,0.401809894484524,0.0559842291585117,0.342955025740999,0.538511909957232,0.0173610578839,-0.0491139115543076,-0.215261805953213,-0.027085638542538,-0.018170611787169,-0.014457670874243,0.0886006208607133,0.000395483505471287,0.324290497359966,1.21840363777519e-16,0.0109557453011721,1.61885851435817e-40,4.98462036750905e-09,1.0878527772694e-51,1.03334588594579e-298,7.10507402386168e-76,2.51269644264802e-46,1.84444002396715e-289,1.49305880667221e-111,0.018892481752589,0.0181643467150844,3.60452554852657e-12,0.000249407754806842,1.81107128239115e-19,3.18568436374862e-128,5.9101542463196e-07,0.677690840805646,5.30169053408293e-05,0.272701311407823,4.35302748381502e-33,0.109599793926712,5.42885296748903e-24,1.06686911730612e-62,0.620023910245274,0.160500227754537,4.96242726142287e-10,0.439152276090919,0.603802347481876,0.679688119367763,0.0112398573250426,0.990989036207077,1.74535471171869e-21,0.146361542635244,2.64227376661349e-05,"blue"
"ENSG00000288862.1","blue",-0.501891776519818,-0.216375358396218,-0.301350914125392,-0.330170468219617,-0.561070635129824,-0.854070687406882,-0.668611081225695,0.61932437472541,0.890026983463251,0.672364208812314,0.0114489161278786,0.252011299612237,0.232741688948817,0.169094847206474,0.368875144933676,-0.58088255318962,-0.121762521691955,0.184908963385504,0.140841696540561,0.0849351396326452,0.286210436901193,0.0284711483664806,0.257297053409207,0.474486648172391,-0.0426499894940722,-0.136542306268703,-0.264014407854313,0.0414377575253342,-0.00312712675803586,0.0486412212133645,0.113174051162436,0.0555343658549178,0.353130822156239,2.09135774984106e-53,4.02003877096877e-10,1.23697791438562e-18,2.95527060822996e-22,5.11929638255236e-69,7.58493411275307e-234,4.35432789980198e-107,8.46983898320561e-88,1.38073278726191e-280,1.03842450125485e-108,0.743700413284813,2.57263260650201e-13,1.5931216151786e-11,1.15093986651286e-06,9.10450208405236e-28,5.5572321753039e-75,0.000482727890864796,1.00158992752479e-07,5.29574629870447e-05,0.015103753902836,6.9097727393997e-17,0.416095148050582,7.79072819869931e-14,3.72877178747858e-47,0.22303073614931,8.94366108830809e-05,1.6406700142854e-14,0.236474417595878,0.928842331868463,0.164568867909264,0.00118556830138488,0.112485974058655,1.96844898774873e-25,0.190980093759315,3.7010445227584e-08,"blue"
"ENSG00000286452.1","blue",-0.358773671199147,-0.234807279728488,-0.305339872053629,-0.143873379888552,-0.512264589072985,-0.84914470942343,-0.643598803276659,0.61382486806372,0.889989984202026,0.752605404635895,-0.203913458317954,0.0626283560943385,0.180232426812724,0.121564312441416,0.333905745012472,-0.674287807098627,-0.184056312161633,-0.00702457477762891,0.0856043646248354,0.00699606551926405,0.264661683695005,-0.0200963830713014,0.307111868714934,0.4254659513383,-0.086399002253034,-0.162027850537541,-0.297329397543393,0.0164140504867171,-0.0572050513246163,0.0165682847550505,0.0826456941618691,0.0357605362743254,0.193833522913701,2.96670477430352e-26,1.04123454189646e-11,4.11640093240777e-19,3.62617662643485e-05,6.34326243849489e-56,1.96609556079908e-228,7.45532969245299e-97,7.42082353899735e-86,1.57131509796524e-280,3.12842456866699e-150,3.97835192723641e-09,0.0734164103443704,2.10922187400414e-07,0.000493171681769066,9.37182555569179e-23,1.49777848488667e-109,1.14889821865323e-07,0.841009012780163,0.0143214635678055,0.841645736586338,1.40864687930671e-14,0.566001882881713,2.51112061833021e-19,2.69126319294699e-37,0.013439079792957,3.19552906292115e-06,3.68676533077e-18,0.639236178075161,0.102061307407242,0.636090202609179,0.0180712247141009,0.306999109461732,2.2919745584811e-08,0.161569553034765,3.40927932362827e-06,"blue"
"ENSG00000134548.11","blue",-0.324692635370325,-0.14564169504127,-0.355236872301044,-0.192064586626261,-0.44427306856746,-0.877699928373725,-0.585006399506859,0.517960315154128,0.889426290643247,0.698375195174096,-0.0774633936254714,0.157017202486431,0.207739388941996,0.145362615257315,0.338699846805421,-0.686312630276984,-0.17778454946628,0.0265613063194271,0.111826692729375,0.0271488516632263,0.322572981139325,0.11842664039281,0.343228140720668,0.500008892505225,0.0106255030887836,-0.0977333317001375,-0.264037182351375,-0.0111266169645345,-0.0339648358510278,0.022386370873261,0.102837148725389,0.0374182910593837,0.304453780424208,1.54764506352147e-21,2.89720916194018e-05,9.75722524051585e-26,3.0874330381513e-08,6.86385247238125e-41,6.48696246132239e-263,2.82705338864875e-76,2.41134613368128e-57,1.12021070661431e-279,1.19563791199177e-120,0.0267292640943578,6.42343725274936e-06,1.99813993077382e-09,3.00218781112346e-05,2.09667650026337e-23,5.89354933568587e-115,3.09103131104976e-07,0.44806548600705,0.00135775763036714,0.438084614846249,2.91070458929411e-21,0.000689161507640409,4.97429842836727e-24,5.86543645128846e-53,0.761554057346842,0.00514731100804288,1.63190317608001e-14,0.750672890259455,0.331940578479771,0.522584279127293,0.00323449167805326,0.285102512888623,5.26385466498838e-19,0.132069468913127,0.000151798942860278,"blue"
"ENSG00000179564.4","blue",-0.412540657860528,-0.221373932478423,-0.29192968471112,-0.248486432820527,-0.575081621623157,-0.855399956290795,-0.721211947056571,0.711733051772704,0.889361743775868,0.723251539261633,-0.184844286503418,0.0631946306813766,0.231055197798262,0.152816962837906,0.375550558706861,-0.611442164260332,-0.109659756292636,0.106503628303302,0.144024534223437,0.0602628860353875,0.260914479738541,-0.045491647648527,0.273181373881991,0.463490793062676,-0.0859112322983619,-0.156500248230705,-0.254368720558302,0.0184924694523078,-0.0222832950731766,0.0216204624415834,0.0749470561030501,0.0318739197749764,0.241806030447225,5.90585496581299e-35,1.5400539675946e-10,1.55520711837374e-17,5.62032288491742e-13,3.41558410409405e-73,2.4256742966887e-235,3.01774776504629e-132,2.69979647016032e-127,1.40178901565954e-279,2.43902703546014e-133,1.0120918791572e-07,0.07084767420769,2.24777074762062e-11,1.13456746542226e-05,8.5004963387376e-29,5.01467505008631e-85,0.00168356592896648,0.00228765777799206,3.55763642649148e-05,0.0849806658940616,3.38570859863674e-14,0.193677665629284,1.82062316887337e-15,8.40636752158203e-45,0.0139748396414203,6.89484990648986e-06,1.51517906415115e-13,0.597406380861077,0.524501234384394,0.536913599479044,0.0320909980072745,0.36258329246649,2.39132268234035e-12,0.173208442899416,6.22749952387911e-07,"blue"
"ENSG00000100320.23","blue",-0.432444178626913,-0.181848677490136,-0.354492626103049,-0.248310531703282,-0.662185161954289,-0.869635918162103,-0.664299576870932,0.642969479645048,0.888667959295932,0.656208205228983,-0.0516873817766072,0.188255478375625,0.186661553504941,0.121556205149974,0.26493436713875,-0.611717202883064,-0.163611117355232,0.185167906416336,0.194395995347713,0.0154350494884874,0.267701888242506,-0.0397031560196808,0.230685586512819,0.442740037122414,-0.0961402374283925,-0.162663843627433,-0.271312426164321,-0.0550266950216437,-0.0445756328232473,0.00587683300265505,0.0673432290306808,-0.00588484149853802,0.315283938098689,1.32727106562497e-38,1.63411821908996e-07,1.25112276399182e-25,5.84198142228392e-13,2.30366454581887e-104,2.33222628131525e-252,2.97681633832173e-105,1.31109962421986e-96,1.54739212704304e-278,6.84983656745644e-102,0.139669731247531,5.80915750974897e-08,7.53925733145713e-08,0.000493603305178134,1.32084290359272e-14,4.02550273728576e-85,2.55152078942129e-06,9.60588681874773e-08,2.08360002399263e-08,0.659354607313898,6.84457423041067e-15,0.256690194367614,2.42304469572978e-11,1.37404119938885e-40,0.0059259673583168,2.92005586032846e-06,2.86986058887248e-15,0.115814500868505,0.20281308822025,0.866720204032202,0.0541913244223597,0.866540279700701,2.45940010524084e-20,0.202874618885716,4.78537847504799e-09,"blue"
"ENSG00000279609.1","blue",-0.405345539999845,-0.169554135109071,-0.354690474957089,-0.249928347198162,-0.533933559528688,-0.853501670625015,-0.625057738878984,0.569442042125037,0.887738531227492,0.677364120712603,-0.0323787441528694,0.187463989987481,0.196038343858666,0.12461682803856,0.326959300383969,-0.622311343983111,-0.159285035170864,0.105520501658471,0.165692599810517,0.0122214876244593,0.253732931984834,0.0243239874217094,0.235954520908401,0.449183752344586,-0.0409472097479433,-0.145064473908128,-0.307010430772119,0.0173724743778173,-0.0234586053277766,-0.00219289191885506,0.0726364224434603,0.00282505331518038,0.306570041048145,1.07393811492803e-33,1.07543819435631e-06,1.17118230082099e-25,4.08850063723816e-13,1.79036231393788e-61,3.27662461290891e-233,7.26372438698942e-90,1.73136771145561e-71,3.76650775085701e-277,6.56508525259478e-111,0.355027750969354,6.61384321400821e-08,1.57486346940014e-08,0.000353436819323742,7.83256158585561e-22,7.18657103695543e-89,4.69542779182484e-06,0.00251288951626191,1.89182816075671e-06,0.727073087255465,1.74865168365614e-13,0.487229535802274,8.20741239142127e-12,7.25409439046585e-42,0.242073973836671,3.11831882109266e-05,2.58341909279348e-19,0.61979383716008,0.502858598577805,0.950067184353984,0.0377997342432431,0.93570033572471,2.92184752244481e-19,0.186599342731865,7.61601160831391e-08,"blue"
